# Справочник MAVLink: номер сообщения -> имя и назначение.
# Номера постоянны, имена берут отсюда, а не по памяти.
# Формат: msgid  имя  назначение
0    HEARTBEAT             жив, режим, тип аппарата
1    SYS_STATUS            нагрузка, напряжение, отказавшие датчики
24   GPS_RAW_INT           сырые данные GPS: тип решения, спутники
30   ATTITUDE              крен, тангаж, рыскание
33   GLOBAL_POSITION_INT   отфильтрованные координаты и высота
74   VFR_HUD               приборная скорость, высота, вертикальная скорость
76   COMMAND_LONG          команда аппарату (обычно от наземной станции)
147  BATTERY_STATUS        напряжение, ток, остаток
253  STATUSTEXT            текстовое сообщение автопилота
